"coord1" "coord2" "coord1.norm" "coord2.norm" "spotID" "histology" "histology_color"
"ST267" 22 30 1.29571428571429 1.62461538461538 "ST267" "Cancer cells and desmoplasia" "red"
"ST268" 22 31 1.29571428571429 1.69576923076923 "ST268" "Cancer cells and desmoplasia" "red"
"ST269" 22 32 1.29571428571429 1.76692307692308 "ST269" "Cancer cells and desmoplasia" "red"
"ST270" 22 33 1.29571428571429 1.83807692307692 "ST270" "Cancer cells and desmoplasia" "red"
"ST271" 23 15 1.35642857142857 0.557307692307692 "ST271" "Interstitium" "green"
"ST272" 23 16 1.35642857142857 0.628461538461538 "ST272" "Interstitium" "green"
"ST273" 23 17 1.35642857142857 0.699615384615385 "ST273" "Interstitium" "green"
"ST274" 23 18 1.35642857142857 0.770769230769231 "ST274" "Cancer cells and desmoplasia" "red"
"ST275" 23 19 1.35642857142857 0.841923076923077 "ST275" "Cancer cells and desmoplasia" "red"
"ST276" 23 20 1.35642857142857 0.913076923076923 "ST276" "Interstitium" "green"
"ST277" 23 21 1.35642857142857 0.984230769230769 "ST277" "Interstitium" "green"
"ST278" 23 22 1.35642857142857 1.05538461538462 "ST278" "Interstitium" "green"
"ST279" 23 23 1.35642857142857 1.12653846153846 "ST279" "Cancer cells and desmoplasia" "red"
"ST280" 23 24 1.35642857142857 1.19769230769231 "ST280" "Cancer cells and desmoplasia" "red"
"ST281" 23 25 1.35642857142857 1.26884615384615 "ST281" "Cancer cells and desmoplasia" "red"
"ST282" 23 26 1.35642857142857 1.34 "ST282" "Cancer cells and desmoplasia" "red"
"ST283" 23 27 1.35642857142857 1.41115384615385 "ST283" "Cancer cells and desmoplasia" "red"
"ST284" 23 28 1.35642857142857 1.48230769230769 "ST284" "Cancer cells and desmoplasia" "red"
"ST285" 23 29 1.35642857142857 1.55346153846154 "ST285" "Cancer cells and desmoplasia" "red"
"ST286" 23 30 1.35642857142857 1.62461538461538 "ST286" "Cancer cells and desmoplasia" "red"
"ST287" 23 31 1.35642857142857 1.69576923076923 "ST287" "Cancer cells and desmoplasia" "red"
"ST288" 23 32 1.35642857142857 1.76692307692308 "ST288" "Cancer cells and desmoplasia" "red"
"ST289" 24 16 1.41714285714286 0.628461538461538 "ST289" "Interstitium" "green"
"ST290" 24 17 1.41714285714286 0.699615384615385 "ST290" "Interstitium" "green"
"ST291" 24 18 1.41714285714286 0.770769230769231 "ST291" "Cancer cells and desmoplasia" "red"
"ST292" 24 19 1.41714285714286 0.841923076923077 "ST292" "Cancer cells and desmoplasia" "red"
"ST293" 24 20 1.41714285714286 0.913076923076923 "ST293" "Interstitium" "green"
"ST294" 24 21 1.41714285714286 0.984230769230769 "ST294" "Interstitium" "green"
"ST295" 24 22 1.41714285714286 1.05538461538462 "ST295" "Cancer cells and desmoplasia" "red"
"ST296" 24 23 1.41714285714286 1.12653846153846 "ST296" "Cancer cells and desmoplasia" "red"
"ST297" 24 24 1.41714285714286 1.19769230769231 "ST297" "Cancer cells and desmoplasia" "red"
"ST298" 24 25 1.41714285714286 1.26884615384615 "ST298" "Cancer cells and desmoplasia" "red"
"ST299" 24 26 1.41714285714286 1.34 "ST299" "Cancer cells and desmoplasia" "red"
"ST300" 24 27 1.41714285714286 1.41115384615385 "ST300" "Cancer cells and desmoplasia" "red"
"ST301" 24 28 1.41714285714286 1.48230769230769 "ST301" "Cancer cells and desmoplasia" "red"
"ST302" 24 29 1.41714285714286 1.55346153846154 "ST302" "Cancer cells and desmoplasia" "red"
"ST303" 24 30 1.41714285714286 1.62461538461538 "ST303" "Cancer cells and desmoplasia" "red"
